"FindingId","UserPrincipalName","RoleDisplayName","Severity","ReviewState","Decision","IncludeInRemediation","DisableUser","MatchedRuleId","MatchedRuleMode","MatchedRuleAction","ExpiredRuleCount"
"finding-1623a0a8a33dcd65b97a99ac9c1e4fbf0c9e6705519f7d650eb70b23d7ea5073","creed.bratton@algono.co","Authentication Administrator","Critical","ReviewRequired","RemediateBySeverity","True","False",,,,"0"
"finding-1028024735d39575e1d6e155bc33ad14eff727281aa36606da43c2dbde3f386b","todd@algono.co","Authentication Administrator","Critical","ReviewRequired","RemediateBySeverity","True","False",,,,"0"
"finding-26ac588bc3a07c968b7d39c325bb74627e5bff57ca2acb88f1170ab21f36df28","gabe.lewis@algono.co","Helpdesk Administrator","High","ReviewRequired","RemediateBySeverity","True","False",,,,"0"
"finding-8b846f63668151c92cc830648c9dd4c0632ef89b4d3aececf2f2cba3085ab03e","kelly.kapoor@algono.co","Helpdesk Administrator","High","ReviewRequired","RemediateBySeverity","True","False",,,,"0"
"finding-5612cf65bff7ff600632a86475a9c38759db20215bc42449da32c97a11daa801","lmw@algono.co","Global Administrator","High","ReviewRequired","RemediateBySeverity","True","False",,,,"0"
"finding-304257346c212b73f2b1fe5611af963154ecd0747ec176349f8a5cbb71e00781","ryan.howard@algono.co","Helpdesk Administrator","High","ReviewRequired","RemediateBySeverity","True","False",,,,"0"
"finding-13fc06fe12352ff02a61b008a31936d368c8f6408bb099044239c50ce66c856e","kelly.kapoor@algono.co","User Administrator","High","ReviewRequired","RemediateBySeverity","True","False",,,,"0"
"finding-cc2d48fb3212b6863c6088c8e0dba6a17253ca2f1b59caf930ac71901525bd45","toby.flenderson@algono.co","User Administrator","High","ReviewRequired","RemediateBySeverity","True","False",,,,"0"
"finding-3f0e9cf08644e225994566fabec3d9144553bc0d9d89e9ef0c12240e86c5d8bb","evelyn.thorne@algono.co","Global Administrator","High","ReviewRequired","RemediateBySeverity","True","False",,,,"0"
"finding-58d8dc4e822f3477215ed2d13a65a4ae084e8610879d74eab5b55155fc1fd3e0","todd@algono.co","Global Administrator","Medium","ExceptionApproved","ExcludedByAllowRule","False","False","RULE-0001","Allow","Keep","0"
